sparsity_param,sparsity,accuracy,,man_sparsity,man_acc,
0.99,0.928584455,63.28712871,78.07278708,0.995369995,61.38613861,80.46156906
0.98,0.897690739,66.89108911,78.33008149,0.990770384,66.41584158,82.74644
0.97,0.879447641,69.26732673,78.60604544,0.986106608,67.8019802,83.20632051
0.95,0.85515278,70.89108911,78.20318356,0.977695939,72.35643564,85.06301479
0.9,0.838208178,72.47524752,78.14803266,0.955575931,73.58415842,84.57087574
0.85,0.811804317,75.20792079,78.19417626,0.931740355,77.06930693,85.12167122
0.8,0.793292741,75.88118812,77.60523109,0.909571378,77.62376238,84.29045011
0.75,0.782036864,75.88118812,77.04243728,0.884244813,75.64356436,82.03402282
0.7,0.773085859,77.06930693,77.18894644,0.861582779,77.74257426,81.9504261
0.65,0.765793011,75.84158416,76.21044262,0.83852056,76.31683168,80.08444383
0.6,0.756801481,75.16831683,75.42423244,0.814554966,75.16831683,78.3119067
0.5,0.745042416,75.8019802,75.15311092,0.768999568,75.84158416,76.37077047
0.4,0.742702086,76.31683168,75.29352013,0.742702086,76.31683168,75.29352013
0.3,0.736376776,74.33663366,73.98715565,0.736376776,74.33663366,73.98715565
0.2,0.739731926,76.67326733,75.32322995,0.739731926,76.67326733,75.32322995
0.1,0.733617685,77.82178218,75.59177535,0.733617685,77.82178218,75.59177535
